Name,Latitude,Longitude,Rating,User Ratings Total,Price
রিপন হোটেল এন্ড রেষ্টুরেন্ট(RIPON HOTEL AND RESTAURANT)),22.8366131,89.5188147,0.0,0,
Ripon Hotel and Restaurant,22.8365853,89.5188094,4.5,6,
আফগানি রেষ্টুরেন্ট,22.8167405,89.5632277,2.0,1,
Laboni Hotel & Restaurant,22.8744802,89.5223989,4.0,122,
Cantt. Restaurant & Cafe,22.920423,89.5014605,4.8,5,
গোলপাতার রসুই হোটেল এন্ড রেস্টুরেন্ট,22.7977822,89.52543969999999,4.4,85,
জামিলের ফিস কাবাব,22.8710021,89.4924425,4.6,37,
Sonchita Hotel And Restaurant,23.0436548,89.6306903,4.4,11,
Cafe Vagabond,22.8705604,89.540433,4.1,31,
RIVER VIEW RESTAURANT,23.0306021,89.3998225,4.1,16,
Banolata Restaurant,23.1166908,89.3532493,3.7,9,
New Azmiri Kacchi Kitchen,22.8121794,89.55702090000001,4.0,459,
Al Amin Hotel & Restaurant,23.1166429,89.3531589,3.3,7,
Order's Up Mixed Food Restaurant,22.8164373,89.3153469,2.0,1,
Order's Up Mixed Food Restaurant,22.8290541,89.3204075,5.0,2,
Cafe Jujuba,22.8973257,89.5079846,3.7,265,$$
"Coffee Glory, Khulna",22.8259857,89.55106860000001,4.3,377,
Pizzaology,22.8268541,89.5505275,4.0,631,$$
Faruk Biriyani Ghar,22.8121675,89.5565766,4.0,36,
Muslim Hotel,22.9831746,89.4480943,4.4,388,$$
Kamrul Hotel,22.7981591,89.5274182,4.1,2111,$$
Kisukhon Bondhu Hotel & Restaurant,22.955349,89.2295743,4.4,16,
Cafe De Antelia,22.7806818,89.5542397,4.1,221,$$
মায়ের দোয়া হোটেল মাংসের বাজার,22.9731439,89.4770846,0.0,0,
Bone Fish,22.7993007,89.5347031,3.8,130,
Khan Restaurant,22.8247822,89.5375766,0.0,0,
Restaurant Adda,22.8008079,89.5392837,5.0,2,
Babul Tea Stall,22.9832588,89.4488059,4.4,22,
Imran Tea & Restaurant,22.8601457,89.5281092,5.0,4,
Ahmed Biriyani & Kabab Ghar,22.8350394,89.5340908,3.9,47,
Jalil Restaurant,22.6941403,89.51768419999999,0.0,0,
Rooster King,22.8105864,89.5662397,4.0,186,$$
Joe Bean Haus,22.8108046,89.5620215,3.7,6,
Surashsar Hotel & Restaurant,22.4706046,89.60322719999999,4.5,26,
Chinese Choice,22.8103815,89.56620570000001,4.0,10,
Tatka Kitchen-Khulna,22.8500501,89.5311468,1.0,2,
Cafe In Heaven,23.0130139,89.8224053,4.1,32,
Cafe In Heaven,23.0029936,89.8279014,4.1,258,
FnF Restaurant and Takeaway,23.0069472,89.831053,3.8,289,
Kashful sweets & Restaurant,23.0059615,89.8265526,4.4,12,
Bar B Que Restaurant,23.0085828,89.82985409999999,3.8,161,$$
Driver Hotel And Restaurant,23.0103061,89.8432718,4.0,20,
Blue Valley Restaurant,23.0088962,89.830981,4.5,4,
Bismillah Hotel & Restaurant,23.0313151,89.8189455,4.0,80,$
আাপ্যায়ন রেস্টুরেন্ট,22.6733839,89.7431048,5.0,2,
Al-Madina Hotel & Restaurant,23.0482497,89.88830809999999,5.0,1,
South King Restaurant,22.9515129,89.82244779999999,4.3,9,$$$$
Bagan Baree rooftop restora,23.0067264,89.8293899,4.2,21,
Progati Cafe,23.0072132,89.83087499999999,4.2,26,
Luminous Pizza,23.0087649,89.83121799999999,4.5,11,
AFC King Fastfood & Chinese,22.9509292,89.8229142,4.0,74,
Ksp Cafe,23.0059288,89.82905590000001,4.0,188,
সাজিদ ঝালমুড়ি এন্ড ভাজা ঘর,22.8445859,89.94047289999999,5.0,2,
Datto Mistonno Vander,23.0057572,89.8266166,4.4,329,$$
Cafe Rubi,23.0068179,89.8291047,3.8,58,
আপ্যায়ন হোটেল,22.7912089,89.6063379,5.0,2,
Wish Food,23.0562314,89.7699346,2.5,2,
Cafe 71,22.9890425,90.003624,0.0,0,
Kohinoor Hotel and Restaurant,23.0114429,89.83022489999999,5.0,2,
Shahina Hotel & Restaurant,23.0272431,89.83203639999999,3.0,1,
CFC Fastfood & Chinese Restaurant,23.0725852,89.7649825,5.0,1,
Sohana Snacks & Restaurant,23.0249499,89.8978283,4.4,7,
Risha hotel and restaurant,23.0197144,89.8417832,5.0,2,
"Family Bee Mini Chainese Restaurant,Gopalganj",23.0130139,89.8224054,0.0,0,
Food Valley Chinese & Fast Food Restaurant,23.0130139,89.8224054,5.0,1,
Saayen Restaurant ছায়েন রেস্টুরেন্ট,22.8933734,89.8911043,0.0,0,
Grand Prince Thai & Chinese Restaurant,23.1678457,89.7942892,5.0,1,
Pansi dhaba and restaurant,23.01432,89.8439396,3.5,2,
Park View Restaurant And Fast-food,22.9678148,89.81412859999999,2.8,4,
Banquet chinese & fast food,23.0083534,89.82951949999999,3.7,43,
MODHUMOTI HOTEL AND RESTAURANT,22.885189,89.8932153,5.0,2,
Dhaka Hotel & Restaurant,23.0265639,89.8348254,3.8,26,$
Shine Restaurant,22.9034451,89.8986018,2.0,1,
Mizan Restaurant,22.9266143,89.80600679999999,0.0,0,
Shine Restaurant,22.8930058,89.8913705,5.0,1,
bayanna restaurant & cafe,22.9677245,89.8147611,5.0,1,
Star Fast Food And Mini Chinese,23.0488146,89.8879304,5.0,1,
DATTA BARI RESTAURANTS,22.989245,90.02786449999999,0.0,0,
Saddam Hotel and Restaurant,22.886949,89.897171,4.0,1,
River Side Cafe & Restaurant,22.80228,89.58137010000002,3.5,13,
Riaz Hotel And Restaurant,22.9076135,89.89662899999999,4.9,7,
Nayeem Restaurant,22.8444543,89.939312,5.0,1,
Subodh vaier hotel and restaurant,23.0106187,89.8303828,5.0,1,
Sohel Hotel & Restaurant,22.9311539,89.80553049999999,3.0,3,
Hungry Guest Hotel & Restaurant,22.96467,89.8157815,4.5,2,
KhanJahan Ali Hotel & Restaurant,22.771456,89.7120622,4.4,5,
"Kazi Farms Kitchen, Bagerhat",22.6477223,89.8028878,5.0,1,
Siddik's Juice Corner,22.8033823,89.5381736,4.4,50,$
Olive & Western,22.8995785,89.50963039999999,4.3,103,
3 Food Khulna Branch,22.8017928,89.5538354,4.2,131,$$
Shahi Biriyani House,22.8551994,89.5450872,4.3,220,$
লাজিজ ডাইন,22.8082585,89.540752,4.3,3,
